"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.779699712178430E9,"2026-05-25 18:01:52.178 UTC+09:00"
"PAUSE",1.373825133335777E1,1.779699725916413E9,"2026-05-25 18:02:05.916 UTC+09:00"
